Date,Open,High,Low,Close,Volume
14/12/29,21578,21654,21151,21411,6750
14/12/30,21390,21500,21150,21500,2055
14/12/31,21636,21637,21302,21500,9800
15/01/02,21713,21713,21202,21484,4494
15/01/05,21691,21691,21240,21480,4036
15/01/06,21499,21499,21270,21271,10551
15/01/07,21480,21498,21271,21400,6695
15/01/08,21287,21433,21287,21400,62476
15/01/09,21499,21500,21296,21500,3269
15/01/12,21480,21497,21119,21200,3982
15/01/13,21481,21481,21300,21327,2315
15/01/14,21320,21500,21221,21428,48726
15/01/15,21450,21677,21220,21351,29119
15/01/16,21650,21650,21400,21500,57687
15/01/19,21651,21999,21407,21638,2685
15/01/20,21634,21700,21600,21645,25344
15/01/21,21700,21800,21676,21800,42978
15/01/22,21332,21801,21332,21801,38455
15/01/23,22000,22400,21750,22400,60552
15/01/26,21465,22396,21070,22287,9433
15/01/27,21921,22500,21805,22500,5257
15/01/28,22191,23282,22190,23180,24413
15/01/29,22213,23250,22000,23250,9663
15/01/30,22867,22997,22791,22825,13876
15/02/02,22710,22875,22391,22800,9632
15/02/03,22912,23168,22891,22995,58287
15/02/04,22729,22879,21850,22500,74901
15/02/05,22880,23250,22591,23250,6286
15/02/06,23250,23254,22618,23112,6859
15/02/09,23112,23300,22302,22464,25244
15/02/10,23324,24500,22510,24500,28802
15/02/11,24500,24500,23510,23989,11633
15/02/12,24000,24498,23506,24369,24235
15/02/13,23940,24500,23250,24419,27101
15/02/16,24400,24400,23254,23600,16905
15/02/17,23801,23801,23200,23200,46207
15/02/18,23400,23400,23100,23200,57597
15/02/19,23200,23200,22500,22791,36800
15/02/20,22900,22900,22450,22450,78816
15/02/23,22502,22751,22375,22500,115707
15/02/24,22647,22900,22585,22887,122045
15/02/25,22900,23600,22799,23300,568714
15/02/26,23300,23800,23110,23400,49861
15/02/27,22600,23665,22600,23550,62581
15/03/02,23696,24000,22676,22900,21396
15/03/03,22800,22801,21790,22679,242929
15/03/04,22679,22725,21610,22433,21377
15/03/05,21900,22378,21900,22175,59270
15/03/06,22163,22551,22163,22193,72101
15/03/09,22100,22100,21506,21775,249471
15/03/10,21500,22100,21500,21880,142963
15/03/11,21750,22119,21700,21800,131679
15/03/12,21792,22526,21792,22500,197245
15/03/13,22518,22975,22500,22975,21212
15/03/16,22970,23001,22769,23000,73092
15/03/17,22800,23000,22718,23000,15871
15/03/18,21600,23110,21600,22990,76212
15/03/19,21982,23000,21982,22300,108794
15/03/20,22590,22590,21550,21550,196531
15/03/23,21500,22187,21112,22000,192292
15/03/24,22465,22498,22051,22450,39257
15/03/25,22396,22397,21508,22000,117508
15/03/26,21389,22268,21075,21357,138363
15/03/27,21051,21990,21050,21900,134088
15/03/30,21610,22489,21601,22370,97911
15/03/31,21500,22590,21500,22557,58602
15/04/01,22400,22900,22210,22900,42791
15/04/02,22360,22825,22360,22760,98996
15/04/07,22700,22700,21665,22416,22934
15/04/08,21990,22259,21710,22000,49732
15/04/09,22111,22500,22048,22144,26305
15/04/10,22277,22316,22233,22249,47842
15/04/13,21990,22469,21990,22246,43750
15/04/14,21851,22320,21851,22250,22373
15/04/15,22400,22720,22252,22720,21504
15/04/16,22720,23198,22720,22990,57125
15/04/17,22974,23974,22974,23300,154506
15/04/20,23350,23350,22599,22800,38290
15/04/21,23000,23000,22257,22547,191152
15/04/22,22588,22850,22588,22700,40095
15/04/23,22800,22800,22300,22615,207127
15/04/24,22978,22979,22463,22979,20830
15/04/28,22979,22979,22530,22850,17064
15/04/29,22978,23332,22801,23300,43346
15/04/30,23342,23399,22912,23399,45434
15/05/04,23399,23399,22757,22900,108889
15/05/05,22658,23370,22550,23070,67212
15/05/06,22950,23001,22700,22950,45622
15/05/07,22700,22774,22500,22699,78459
15/05/08,22635,23270,22444,22600,42039
15/05/11,22601,22899,22350,22389,34715
15/05/12,22719,22799,21826,21919,48040
15/05/13,21825,22262,21700,21800,16168
15/05/14,21500,21701,21399,21599,265672
15/05/15,21670,22441,21604,22299,78143
15/05/18,22201,22678,22200,22350,27972
15/05/19,22327,22577,22281,22562,64452
15/05/20,22401,22432,22000,22200,77707
15/05/21,22200,22316,22200,22215,43287
15/05/22,22120,22476,21726,21935,39474
15/05/25,21851,22476,21820,22175,61957
15/05/26,22277,22349,21601,21720,104953
15/05/27,21720,21910,21507,21900,88928
15/05/28,22062,22476,21659,21900,57968
15/05/29,21900,21950,21600,21600,92672
15/06/01,21600,21714,21160,21300,214596
15/06/02,21355,21420,21023,21173,108566
15/06/03,21061,21200,21061,21192,60071
15/06/04,21150,21150,20968,20968,97185
15/06/05,21100,21300,21100,21300,98209
15/06/08,21300,21301,20950,21150,110856
15/06/09,21201,21201,20794,21102,172177
